비속어,카테고리,text
비욕설,혐오,운전 사람 사람 그냥 재수
비욕설,일반_긍정,치기
비욕설,혐오,여자 비율 김치 기안
비욕설,일반_긍정,신다은 예능
욕설,섹슈얼,키스 눈빛 마리 사자 키스 스킬 워후 단점 자지 여자 컥컥 거리 존나 흥분 후기
비욕설,일반_긍정,언니 피자
비욕설,일반_긍정,주말 살짝 무시 관리
비욕설,섹슈얼,똥꼬
비욕설,혐오,신뢰 안주 돌대가리
비욕설,섹슈얼,조루 가나 지루 지루
비욕설,혐오,숭문중 학교 쓰래
욕설,혐오,븅신 이기
비욕설,혐오,쏠놈 전형 착각 셰상 남자 지금 그때
비욕설,혐오,유튜브 홍보 댓글 하나 보고 일일이 캡쳐 광고 이상
비욕설,혐오,이분 인스타 하나 열등감 정도 사람 선남선녀 결혼 러워 악플 신경 순산
비욕설,섹슈얼,야동 여친 배우 몸배 서비스
비욕설,혐오,거거 남자 사업 접대 비즈니스
욕설,혐오,항상 씨발 남한 냄비
비욕설,혐오,반일 연대 출신 사회학 교수 수업 부터 성향 좌빨 식민 사회 연구 조선 식민지 사정 일본 조선 붓기 한국 민족주의 정신 경제개발 일본 영향 하드 팩트 수가
비욕설,혐오,문재인 좌파 페미니즘 노조 방송
비욕설,일반_긍정,유재석 이제 얼굴 나와라
비욕설,일반_긍정,
비욕설,일반_긍정,아들 애기 정말 바르게
비욕설,혐오,중국 우한 코로나 때문 안이 위험 엄마 어찌 정말 세상 나라 무능 정부 처음 문어 대갈
비욕설,일반_긍정,승려 기대 가즈앙
비욕설,혐오,설리 브라 한남 살인
욕설,혐오,지랄
욕설,혐오,조작 드루 좆선족 짱깨 조작 추천
비욕설,일반_긍정,시청률 대박 진혁 스윗 박보검 눈빛 진짜
비욕설,일반_긍정,아아 커플 달달 심장 폭격 오창석 존잘 오늘 비주 최고 야구장 진정 고백 완전 심쿵 남자 스윗 아아 커플 커플 인연
비욕설,일반_긍정,조이 얘기 한마디 우도 모든 책임 느낌
비욕설,섹슈얼,사까시 달라 고하
비욕설,섹슈얼,잡고 병원 달라
비욕설,혐오,쿵쾅 이분 뭣때문
욕설,혐오,
비욕설,혐오,티모테오 그게 기록 팩트쟌 시비
비욕설,혐오,극혐 바람 바람 바람
비욕설,일반_긍정,가문 영광 축하
욕설,혐오,일제 불합리 대가리 혐한 새끼
욕설,섹슈얼,존나 빈유 로리 새끼
비욕설,섹슈얼,조루 정지연 존나
비욕설,혐오,전현무 업글시 주제 무슨 아나운서 수준 남자 나라 야구선수
비욕설,섹슈얼,그거 선강
비욕설,일반_긍정,클라라 집안 스펙 서울대 계단 스위스 대학 졸업 개국 구사 아버지 유럽 차트 주위 코리아나 멤버 부모 재산 억대 추산 스위스 유럽 사업가
비욕설,일반_긍정,예전 고백 고백 고백 기분 지금 얼마 남자 만날 생각 연락 이제 여자 연락 계속 먼저
비욕설,일반_긍정,거지 퇴근 시간 요즘 가구 시간 사람 저녁때 빨래 다음 빤스 잔뜩 띵똥 검침 하필 빤스 가스 보일러 빤스 그냥
비욕설,섹슈얼,똥꼬
비욕설,일반_긍정,응암동 뭐시기 굳이 비공개 안해 기사 안나
욕설,혐오,페미 가능
비욕설,혐오,자라 재미 기네
욕설,혐오,우익 사쿠라 한국
비욕설,섹슈얼,그냥 사람 사람 길이 크게 관계 보지 혹시 딥키스
비욕설,일반_긍정,영화관 중간 처음
비욕설,혐오,얼굴 줯같나보
비욕설,일반_긍정,시간 동물의왕국
비욕설,일반_긍정,여주 요즘 최고 대세 설현 시청율 밥상
욕설,섹슈얼,개월 다시 삐쩎 꼬른 나름 매력
욕설,혐오,박근혜 씨발
욕설,혐오,조선 새끼 꼬투리 사내 새끼 용접 비유 가지 지랄
욕설,혐오,평균 학력 따리 아치 새끼 상대
비욕설,일반_긍정,요즘 가장 사람 오창석 이채 하트 모습 이보 누가 이채
비욕설,일반_긍정,고생 지금 건강 신경 일만 정도 능력 시대 계속 계속
비욕설,혐오,어후 폐경기 아줌마
비욕설,섹슈얼,요새 여친 이제 내년 결혼 여친 애기 몇번 하여튼 그냥 정액 보지 기증 얼마나 임신 하나요
비욕설,혐오,진짜 개엿같드 여자 사회생활 느낌 진짜
비욕설,일반_긍정,표정 거북이 원주민 순간 연기
비욕설,혐오,오크 심통 난리 면상 견적 이안 나오니
비욕설,섹슈얼,우리나라 원정 왜국 쪽바리 거늬좆 중국 쯔쯔거리
비욕설,혐오,이후 전형 김치 드라마
비욕설,일반_긍정,사람 하나 기분 상쾌 통쾌 오늘 곱창 소주 한잔
비욕설,혐오,담배 여자 연예인
비욕설,일반_긍정,박한별
비욕설,혐오,남성 크기 여성 차이 삽입 시무 경우 해결 여자 다리 오므리 남자 삽입 정도 커버 가능
비욕설,일반_긍정,아들
비욕설,섹슈얼,예전 거의 동거 시피 섹파 가끔 머리 지끈 보지 가끔 정말
비욕설,혐오,저기 정의당 때문 프로 지고 곳임 정의당 문제
욕설,섹슈얼,중국 출장 여자 위챗 번호 존나 꼬시 존나 얼굴 허벅지 존나 허벅지 일부러 맛사지 자지 방향 감고 계속 허벅지
비욕설,혐오,어이 황똘 매국노 매국노 영웅 현씨 당신 누가 해도 공익 제보자 이자 따블당 매국노 구국 영웅
비욕설,혐오,스포츠 래전드 사이 레전드 예의
비욕설,일반_긍정,사람 노인
욕설,혐오,문재인 문재인 시발 개새끼 좃같 개간 시발
비욕설,일반_긍정,뽀빠이 항상 사랑
욕설,혐오,남자 악플 쓸빠 경제 정치 토론 거나 게임 여자 연예 지능 누가
비욕설,일반_긍정,부디 죗값 다시 티비 활동 부탁
비욕설,일반_긍정,그거
비욕설,섹슈얼,섹스 파트너 얼마나
비욕설,일반_긍정,모두 각자 매력 아빠 어디가 자매 모습 저절로 웃음
비욕설,혐오,팩트 보니하니 동생 주먹 어린이 방송 그대로 송출사 그냥 쿵쾅 트집 실패 그냥 쓰레기 새끼 욕처 마땅 아무 상관
욕설,혐오,좌파 새끼
욕설,혐오,이정 보고 자지 주인 잘못 대가리 거무 튀튀 정도 이노 대가리 다음 주인 나라
욕설,혐오,용접 용접 세상 사람 전부 직장 노동
비욕설,일반_긍정,알탕 예능 지긋지긋
비욕설,일반_긍정,뉴스룸 김남주 한번 진짜 아나운서
비욕설,일반_긍정,우리
비욕설,일반_긍정,동안
비욕설,일반_긍정,일어나서 계단 업힐때 달달
비욕설,일반_긍정,진짜
욕설,혐오,씌발 만화 만화 리지 아예 작가 만화가 라리
욕설,혐오,자살 마음 소리
비욕설,섹슈얼,새끼 지금 티비 토왜 새끼 비리 똘똘뭉 로남불 개새끼 호구 좃같 시대
비욕설,섹슈얼,따리 자지
비욕설,일반_긍정,군대 선배 발인 오늘 추모 공원 시기 백세 시대 년도
비욕설,일반_긍정,어이 대낮 그것 인도 아이 음주운전 차량 때문 목숨 해도 진짜
비욕설,일반_긍정,사이즈 반품 반품 진짜 쓰트레스 거기 다가 선비 이중 사람
비욕설,일반_긍정,
비욕설,일반_긍정,중국 야시장 구경
비욕설,섹슈얼,질외 한번 관안 정액 남아 다시 피스톤 그게
욕설,섹슈얼,서현 요즘 성남 지하철 타고 시발
비욕설,일반_긍정,친구 비밀 달라 부탁 수도 달이 소식 고사하고 나중 친구 걱정
비욕설,혐오,꼴깝
비욕설,일반_긍정,안재현 정준영 친구 사실 정준영
비욕설,섹슈얼,애정 나잇 섹스 원래 정상 반응
비욕설,섹슈얼,여자 하나 본인 능력 질내사정 추천
비욕설,일반_긍정,명중 최종훈 제일
비욕설,섹슈얼,소가 퐌타지
비욕설,섹슈얼,와이프 다른 남자 상상
욕설,혐오,주식 영향 븅신년
비욕설,혐오,아나운서 용어 된거 보드 잡고 부들부들
비욕설,혐오,개돼지 지옥 입문 아가리
비욕설,섹슈얼,한채아 진짜
비욕설,혐오,나라 저런 대권 후보 개판 퍼주 나중 어찌 개돼지 너희 나라 될껀데 등신 부동산 정책 하나
비욕설,일반_긍정,상상 자유 거지 추파 계획 눈독 길거리 여자 눈독
비욕설,혐오,여자
비욕설,혐오,운동
비욕설,일반_긍정,이분 연기 악마 보고 실망
비욕설,혐오,가스나 꽃뱀 난하
욕설,섹슈얼,존나 박아 허옇 된거 다시 부들부들 떨드
비욕설,일반_긍정,대가 지불
욕설,혐오,존나 인간 말종
비욕설,섹슈얼,색파 되겠넹
욕설,혐오,임예진 개년 연기 출연 구역질 요즘 저런
비욕설,혐오,우리 방탄 오빠 인성 쯧쯧
욕설,혐오,연애 먼저 븅신
욕설,혐오,근본 탈북자 새끼 변절 새끼
비욕설,섹슈얼,자궁 출혈 성기 주먹 진짜 사람
비욕설,섹슈얼,터널 공사 듯이 손가락 하나 시작 뱅글 뱅글 확장 공사
비욕설,일반_긍정,아시아 한국 서울
욕설,혐오,기미 정도 면개 병신
비욕설,일반_긍정,방송 결혼 런닝맨 버들 행동
비욕설,혐오,캬악
비욕설,섹슈얼,토요일 여자친구 자고 가면 일요일 점심 친구 항상 보고 여친 바로 현관 합체
비욕설,일반_긍정,문재인 별거 가지 트집
비욕설,일반_긍정,세스코 해충
비욕설,섹슈얼,스타킹 이용 와이프 강간 플레이 다단 동의
비욕설,혐오,기생충 잔치 방가 방송 안현모
비욕설,일반_긍정,개봉 무슨 소리 한번
욕설,혐오,신고 대가리 빨갱이
비욕설,일반_긍정,딸아 엄마 걱정
비욕설,일반_긍정,조보아 표정
욕설,혐오,독립 혼자 아빠 다음 그냥 병신
비욕설,일반_긍정,무엇 그냥 안재현 미모
비욕설,섹슈얼,뚱땡이 살집 쫀득 보지 뚱보들 보지
비욕설,섹슈얼,재미교포 크리 스리 진짜 년임
비욕설,혐오,이장우 저딴 주연
비욕설,혐오,하나 하나 커녕 지랄 한국인 구나
욕설,혐오,요즘 싸가지 사촌동생 존나 성격 씨발 쌍욕 진작
비욕설,섹슈얼,상위 경우 거의 시작 자마자 시작 원래 남자 자세 정녕 조루 정도 자세 조정 여자 엉덩이 살이 은근 여성 상위 자세 여자 여성 상위 자세
비욕설,혐오,거늬 시체 냄새
비욕설,일반_긍정,송창의 이유리 죽음
비욕설,혐오,권력 기생 포털 작태 가관 이군 수괴 죄인 재앙 졸개
비욕설,일반_긍정,방가 대답 유재석
비욕설,일반_긍정,다음 사람 틀니 슬슬 틀니
비욕설,섹슈얼,위안 이면 쭉쭉 빵빵 백주 오입 가격
비욕설,혐오,커리어 여자 집안 빵빵 감독 호칭 세상 인스타 각종 헤례허식 가득
비욕설,일반_긍정,안재현 소속사 구혜선 인스타 만하 기사 네이버 상위 댓글 지금 얼마나 사람 관심 구혜선 기사 악플
비욕설,일반_긍정,구매 기부
비욕설,혐오,틀니 주간 압수
욕설,혐오,게로 버러지 새끼
비욕설,일반_긍정,한수민
비욕설,혐오,짱개 지네 바이러스 전세계 퍼트 백신 선점 일본 들보 쓰레기
비욕설,일반_긍정,정말 불륜 나중 늘겅 어쪄려
비욕설,일반_긍정,어차피 강성훈 젝키 색깔 젝키 다른
비욕설,혐오,열폭
비욕설,섹슈얼,존나 초대 가능
비욕설,일반_긍정,친구 혼자 여행 막상 시골 여자
비욕설,혐오,엔터테이먼트 한번 어찌 블랙 핑크 위너 아이콘
욕설,혐오,아침 위치 일이 음개 병신 새끼 주소 근처 건물 위치 어디 전화
비욕설,혐오,버릇 워낙 싸가지 사실 방송 영원 인간 만하 사고 말썽 이르키 어디 국민 비호감 이제 국민 스트레스
비욕설,혐오,방송 이미지 며느리 김치
비욕설,혐오,김치 열폭
비욕설,일반_긍정,검사 방법 어린시절 부모 복수심 이해 검사 문과장 죽음
비욕설,혐오,작가 싸이코 뇌구조 때문
비욕설,일반_긍정,아이유 결혼
비욕설,혐오,트루 열폭
비욕설,일반_긍정,
비욕설,혐오,그냥 병신 프로그램
비욕설,일반_긍정,스토리 상영 찾기 다른 헐리우드 영화 상영 관도 배정 상영 일도 스토리 벌써 보고
비욕설,일반_긍정,이혼 주말 부부 해도
욕설,혐오,명치 브이넥 실화 개토 씌발
비욕설,혐오,장애인 스티븐 호킹 박사 일베충 행복지수
비욕설,일반_긍정,춥다 서로 커플 여자 다리 덜덜 남친 여자
욕설,혐오,연좌제 폐지 거임 가정 도끼 켄데 먼저 버릇 거임
욕설,혐오,지랄 유분수 자살 추천
욕설,혐오,딸배놈 본인 오토바이 마후라 소리 얼마나 건가 그냥 새끼 사회 개념 건가 부왕 소리 땔배 새끼
비욕설,혐오,이해해
비욕설,혐오,메이 웨더 깜둥이 편이 목소리 자기 직업 벌이 프라이드 편이 무엇 노력 편이
비욕설,섹슈얼,걸그룹 생명 이제 이제 타령 가지가지
비욕설,혐오,기생충
비욕설,일반_긍정,이제 조형
비욕설,일반_긍정,나탈리 포트 대박
비욕설,일반_긍정,모자 나이 자식 아기 천사 슈돌 외국 아기 이영애 쌍둥이 정시아 딸도
비욕설,혐오,병장 새끼 모조리 고발 총알 박아
비욕설,일반_긍정,은우 아스트로 탈퇴
비욕설,일반_긍정,금지
욕설,혐오,상관 된거 아가리 시발
욕설,섹슈얼,시봘 존나 웃기 섹스 리스 야동 출현 섹스 보고 둘째 임신
비욕설,섹슈얼,
비욕설,일반_긍정,방금 사람
욕설,혐오,미국 반도 새끼 치앞 병신 개돼지 투성이 대표 새끼
비욕설,혐오,관심 주니 기레기 기레기 국민 돼지 구속 심판 거기 비치 만화 보건 소설 자건 상관 기레기
비욕설,혐오,정말 정신
비욕설,혐오,국빵 전쟁 빨갱이 물총
비욕설,혐오,생각
비욕설,혐오,여주 작품 몰입
욕설,혐오,프로게이머
비욕설,일반_긍정,요새 스브스 믿음
욕설,혐오,인생 수저
비욕설,혐오,이해해 얘기
비욕설,일반_긍정,아들 장동건 고소영 보기
비욕설,혐오,히트 추억 팔이 조선 방송국 예매 기획사 소속사 방송국
비욕설,일반_긍정,바다 최소현 싱크로
비욕설,일반_긍정,피자 토마토 소스 생각
비욕설,일반_긍정,성인 남자 여중생 팔씨름 와글
욕설,혐오,단체 나찌 삽질 기사 똑바로
비욕설,일반_긍정,김치 하루 정도 일주일 포기 혼자 정도 거덩 민들레 김치 빼기 등등 김치 유독 갓김치 그것 김치 진짜 지금 소주 안주 갓김치 하나
비욕설,섹슈얼,오피 가지 건마 단계 유흥 애초 오피 유흥 초보 인증 빡새거
비욕설,혐오,사람 얼굴 손톱 인격 살해 동영상 몰카 메걸 리안 생각
비욕설,일반_긍정,그냥 응원
욕설,혐오,해골 론데
비욕설,섹슈얼,나이 임신 축하
비욕설,일반_긍정,그대 사랑 강렬 그것 마치 서로 상처 선인장
비욕설,일반_긍정,심장마비 기사 달라 생활고 선택 고인 명복
비욕설,혐오,방송사 편집 술처멱 편집 재료 상차림 쯔쯧
비욕설,일반_긍정,지성
비욕설,일반_긍정,해피엔딩
비욕설,일반_긍정,보지
욕설,혐오,썅년 허벅지 두께 허리 두께 년글 기분 감방 보기
비욕설,혐오,노친
비욕설,혐오,한남 결혼 비극
비욕설,섹슈얼,다른 남자 상태 질액 정액 화학 반응 단맛
비욕설,혐오,성형 화장 자식 통수
비욕설,일반_긍정,진작 그동안 다큐 유재석 박명수 정준하
비욕설,혐오,이혜정 호스트 사람 몸매 누구 러는거
비욕설,섹슈얼,여자 매일 자지 서면 오줌 정액 줄줄 화장실 가야
비욕설,일반_긍정,천명훈 파이팅 응원 고재 파이팅 응원 모두 결과 기원
욕설,혐오,씨발련
욕설,혐오,존나 병신 병신 맞춤법 지적
비욕설,일반_긍정,사망자 폭증 태세 전환 그게 인간 본성
욕설,섹슈얼,섯다 씨발
비욕설,혐오,역시 댓글 비율 한남
비욕설,섹슈얼,임신 먼저 자랑
비욕설,일반_긍정,나름 플랜 엄마 진행 줄줄이 동생 정우 엄마 노력 응원
비욕설,혐오,빵셔틀 아미
비욕설,혐오,화사 안보 뭔가
욕설,혐오,교차로 역주행 차앞 바람 살짝 긁혔는데 보험 처리 지랄 그냥 만원 새끼
비욕설,일반_긍정,유리 부사 그게 들통
비욕설,혐오,울산 경상도 사람 경상도 티비 동네 의문 경상도 사투리 자체 아이 정서 주의
비욕설,혐오,여자 매우
비욕설,일반_긍정,연기 배우 평타
욕설,혐오,솔임 여자 한번 병신
비욕설,일반_긍정,방이
비욕설,섹슈얼,차선 가랑이 벌린 손가락 클리 겨우
비욕설,일반_긍정,연예인 싸대기 외모 아나운서 부티 대박 존예
비욕설,섹슈얼,모닝섹
비욕설,일반_긍정,창정 이형 응원
욕설,혐오,진짜 인간 쓰레기 자식 주둥아리 박아 병신 제발 주둥아리 제발
비욕설,혐오,필리핀
비욕설,혐오,비컵 정도 빈유 파라
비욕설,일반_긍정,일단 정소영
비욕설,혐오,댓글 한남 끼리 박수 여자 정신 병자
욕설,혐오,용접 타일 도배 기술 병신 머리 기술
비욕설,일반_긍정,인생 거지
비욕설,일반_긍정,나이 차이
비욕설,일반_긍정,김호중 자숙 군대 가라
비욕설,일반_긍정,드라마 연기
비욕설,일반_긍정,안재현 물어 난리 구혜선 누가 팩트
욕설,혐오,팩폭 존나 망신 하노
비욕설,섹슈얼,요구르트 보지 가랑이 성남 방석집 벌써 전이
욕설,혐오,박정희 만세 문재인 개새끼 김대중 씨발 새끼 전라도 폭동
욕설,혐오,존나 나이 똥꾸 지금 생각
비욕설,일반_긍정,방탄소년단 지민 역시 클라스 사랑 클라스
비욕설,일반_긍정,냄새 부위
비욕설,혐오,스타벅스 청정 구역 공기 달라 냄새 안나
비욕설,혐오,
비욕설,일반_긍정,회사
비욕설,혐오,태생 자체 문과 머리 이과 이하 생기 개무시 사람
비욕설,일반_긍정,오늘 대통령 문재인 한가위 축제 부스 중국 귀빈 위해 직접 치기 시연
비욕설,일반_긍정,역시 너는내운명 효광 추자현 부부 결혼 축하 고하 참고 소이현 부부 제발 안나 왓으 닭살
비욕설,섹슈얼,저녁때 내일 혹시 다른 남자 환영 어차피 여친 생기 아주 결혼 여자
비욕설,혐오,골빈 여자 기사 여자 투표 엠넷 사전투표 계집
비욕설,섹슈얼,여자 어디 남매 여자도 반대 재벌 여자도 욕함
비욕설,혐오,그게 현아 성격 여자 성질 계집 차원 다른 여신
비욕설,일반_긍정,김성균 배우 진짜 예능 예능 악역 이면 악역 진짜 포스
비욕설,일반_긍정,성현아 얼굴 오히려 얼굴 균형 느낌
비욕설,일반_긍정,당신 신사 발짝 씌여져 머슴 가면 머슴 취급 우리 엄마 머슴
비욕설,일반_긍정,작가 보고 계시 여론 여론 반영
비욕설,일반_긍정,응당 처벌 다시 연예계 개인 방송 서든 준영
비욕설,일반_긍정,부터 안보 노잼
비욕설,일반_긍정,평범 수준 결혼 출산율 우리 친척 기본 이상 출산율 감소 피부 웹툰 소설 친척 궁금
욕설,혐오,홍어 새끼 존나 이정 디테 보고 주작 주작 거리 씨발 전일 인증 을해
비욕설,일반_긍정,쓰레기통 분리수거
비욕설,혐오,여자 자기 감정 쓰레기통 하나 고함 여자 나이
비욕설,일반_긍정,유건 선배 응원 배우 유건
비욕설,혐오,새끼 언제 돌변 모름
욕설,혐오,전시 여럿 이서 사람 병신 만들기 목숨 위해 엿같 새끼 소총 그게 간부 해도 간부 새끼 한가지
욕설,혐오,지랄
욕설,혐오,퐁퐁이들 정신승리 병신 결혼 당시 아닐껀데 존나 사랑 결혼 글쎄 서른 대안 상태 비즈니스 아빠 아빠 노예 사랑 퐁퐁 새끼 존나
비욕설,일반_긍정,더블 순간 하야
비욕설,일반_긍정,이상민 신정환 재미
비욕설,일반_긍정,훈남
비욕설,일반_긍정,진짜 이해 사람 그대로 배려 이지 임산부
비욕설,혐오,아이콘 이면 쩌리
욕설,혐오,새끼 새끼 정기 세상 병신
비욕설,섹슈얼,파열 놈임
욕설,혐오,유사 쓰레기 국가 수준
비욕설,일반_긍정,유희열 추리 게스트 커플 꿀쟁
비욕설,혐오,우리 주적 짱개 일본 미국 잘만 독도문제 걱정 필요
비욕설,혐오,성범죄자 난쟁이
비욕설,일반_긍정,아이유 어제 정도 가수 배우
비욕설,섹슈얼,정액 오르가즘 매일 쾌락
비욕설,혐오,김치 뇬들 난리 페미 연예인 광분 하나요
비욕설,일반_긍정,운영자 응원 사회 정의
비욕설,일반_긍정,연습생 보도 그때
비욕설,일반_긍정,이지혜 여자 결혼
비욕설,혐오,여자 왜욕 상품화 때문 기사 댓글 남새 성희롱 레기짓 안해 상품 한남 때문 성희롱 오지
비욕설,일반_긍정,남편 시댁 어른 진짜
비욕설,일반_긍정,일식 흐흐 한상진 연기
비욕설,혐오,천우 진짜 짜증
비욕설,일반_긍정,진심 당시 지금 몸매 얼굴 넘사벽
비욕설,일반_긍정,얼굴 완전 미인 정말
비욕설,일반_긍정,외모 워낙 여자 자꾸 신경 코로나 이후 마스크 생활 신경
욕설,섹슈얼,나중 책임 전가 개쌍뇬 검프 오지
비욕설,혐오,계속 크게 일반인 싸구려 기성복 비지
비욕설,일반_긍정,후학 양성
비욕설,혐오,투기 조작 띱떼기들
비욕설,혐오,망상
비욕설,일반_긍정,아육대 풋살 아육대 풋살 종목 노지훈
비욕설,혐오,븅신들 신기
비욕설,섹슈얼,보지 쿠션 예전 여친
욕설,혐오,금연 한지 정도 시벌 노마
비욕설,섹슈얼,고추 콘돔 얘기 중간 느낌
비욕설,혐오,게이 결혼 생각 조금 의아 인생 선배 얘기
비욕설,섹슈얼,전여친 환승 다시 연락 백프로 연락 새끼 한번 소개팅 나라
비욕설,일반_긍정,최근 드라마 독보 내용 배우 연기력 백승 단장 사이다
비욕설,일반_긍정,송혜교 결혼 사진 진짜
비욕설,일반_긍정,이름 차주혁 엄마 차서 방이
비욕설,혐오,짐승 신호 짐승 짐승
비욕설,일반_긍정,로또 사지 번호 기억 과거 로또 사면
욕설,혐오,친문 모조리 대가리 병신
비욕설,혐오,대견 젊음 나이 해도 얼굴 뭔가 효율
비욕설,섹슈얼,평생 소나 가글
욕설,혐오,사업 그냥 병신 라그 씨발 취직 지랄
비욕설,혐오,비호감 관리
비욕설,혐오,짱깨 사람 질문 나라 가라
비욕설,일반_긍정,정말 세요고 명복
비욕설,일반_긍정,저번 패스트푸드 자주 요즘 식욕 하루
비욕설,일반_긍정,현아 역시 신동욱 때문 한의사
비욕설,혐오,송창의 이유리 진짜 년놈 결혼식장 키스 끼리끼리 은혁 유괴 아들 채린 보육원
비욕설,일반_긍정,모태솔로 애인 한해 아아
비욕설,일반_긍정,에이
비욕설,섹슈얼,안보
비욕설,혐오,깨문 진짜 진절머리
비욕설,일반_긍정,한지민 지성 추억 회상씬 결혼 빡빡 해지니 공감 계속 노래 달빛 아래 우릴
비욕설,일반_긍정,햇습니 나아름 우리나라 애니
비욕설,일반_긍정,열두달 동안 다이어트
욕설,섹슈얼,전공 공부 맞춤법 사람 지식 평가 새끼
비욕설,혐오,김태리 여주 여기저기
비욕설,일반_긍정,샤넬 박효신 원조
욕설,혐오,미나 나발 재팬 한국 연예 일본 개피 한국 새끼 대가리
비욕설,일반_긍정,어제 본가 다가 동네 등하교 여자 동창 그냥 정말 등하교 이유 그랫
비욕설,혐오,자고로 섹스 노돔 거늘
비욕설,혐오,엠빙신 채널 운지 최승호 뒺문 적폐 사퇴 구속 국정 농단 문재인 정작 국민대 중이 조사 구속 경제 싸이코 이중인격
비욕설,혐오,꼴값
비욕설,섹슈얼,섹스 계속 몸정 사람 마음 질질
욕설,혐오,장난 농담 표현 소리 표현 작가 배우
비욕설,일반_긍정,다시 몇개
욕설,혐오,시후 인생 미투 운동 동참 고해 전자발찌 차야
비욕설,일반_긍정,추자현 연기
비욕설,일반_긍정,한혜진 지조
비욕설,혐오,미투 언론 미투 니미 좠투
비욕설,혐오,불륜 유부녀
비욕설,일반_긍정,한번 디엠
비욕설,혐오,나부 요즘 군대 군대 당나라 군대 졸라
비욕설,섹슈얼,하드 소프트 거유 빈유 배우 이름 아시
비욕설,일반_긍정,가을 스튜디오
비욕설,섹슈얼,여자 최소한 동갑 이상 남자 조신 남자 먼저 하늘 가면 자기 잘못 반성 혼자
